 	Area	Perim.
922	12	26.627
923	6	10.485
924	5	11.657
925	4	10.485
926	5	11.314
927	4	11.314
928	6	12.485
929	8	18.971
930	8	13.899
931	5	8.485
932	4	7.657
933	5318	886.663
934	321	159.522
935	6	10.485
936	2611	846.479
937	4	7.657
938	4	7.071
939	8	18.142
940	19	26.042
941	5	12.485
942	6	11.899
943	30	44.426
944	4	11.314
945	4	8.485
946	6	11.314
947	5	12.728
948	7	13.314
949	7	13.314
950	6	14.728
951	7	13.899
952	4	11.314
953	8	12.485
954	10	21.799
955	6	9.071
956	5	10.485
957	8	16.728
958	10	12.728
959	4	9.657
960	5	14.142
961	7	16.142
962	4	10.485
963	4	9.899
964	5	8.485
965	11	22.142
966	16	23.799
967	10	20.142
968	4	5.657
969	14	28.627
970	4	7.071
971	5	9.657
972	4	7.657
973	4	8.828
974	13	24.971
975	4	7.071
976	4	8.485
977	4	7.071
978	2868	1044.930
979	31	48.527
980	13	21.556
981	4	5.657
982	15	26.627
983	5	8.485
984	7	15.657
985	9	17.314
986	15	27.799
987	4	8.485
988	5	11.899
989	72	97.054
990	6	10.485
991	9	20.971
992	15	35.113
993	9	11.314
994	12	18.385
995	8	15.556
996	4	8.485
997	18	32.284
998	5	10.485
999	7	14.728
1000	4	8.485
1001	6	10.485
1002	4	9.899
1003	91	65.497
1004	6	12.485
1005	9	19.799
1006	6	10.485
1007	11	23.213
1008	11	25.456
1009	4	10.485
1010	4	8.485
1011	4	8.485
1012	211	151.865
1013	5	9.899
1014	33	49.012
1015	17	26.042
1016	6	12.485
1017	61	64.569
1018	5	9.071
1019	6	14.728
1020	4	10.485
1021	5	10.485
1022	12	22.971
1023	208	139.480
1024	7	13.314
1025	507	199.078
1026	6	12.485
1027	4	8.485
1028	4	11.314
1029	46	50.770
1030	4	11.314
1031	34	46.184
1032	7	12.485
1033	4	9.899
1034	4	7.657
1035	655	306.174
1036	8	18.385
1037	24	53.255
1038	4	9.071
1039	6	13.314
1040	10	18.142
1041	5	11.314
1042	6	11.314
1043	163	145.966
1044	112	126.409
1045	4	7.657
1046	58	60.083
1047	4	7.657
1048	4	8.485
1049	4	9.899
1050	10	17.556
1051	1551	410.441
1052	4	10.485
1053	6	14.728
1054	7	17.314
1055	4	11.314
1056	6	11.899
1057	4	9.657
1058	16	27.213
1059	4	10.485
1060	9	14.485
1061	4	9.657
1062	6	11.314
1063	4	9.657
1064	4	7.657
1065	5	11.899
