
Os valores de area e perimetro (em pixels) sao(foram ORDENADOS):


        AREA(pixel2)    PERIMETRO(pixel)
                   6              11.899
                   6              11.899
                   6              11.899
                   6              11.899
                   6              11.899
                   6              11.899
                   6              11.899
                   6              11.899
                   6              11.899
                   6              12.485
                   6              12.485
                   6              12.485
                   6              12.485
                   6              12.485
                   6              12.485
                   6              12.485
                   6              12.485
                   6              12.485
                   6              12.485
                   6              12.485
                   6              12.485
                   6              12.485
                   6              12.485
                   6              12.485
                   6              12.485
                   6              12.485
                   6              12.485
                   6              12.485
                   6              12.485
                   6              12.485
                   6              12.485
                   6              12.485
                   6              12.485
                   6              12.485
                   6              12.485
                   6              12.485
                   6              12.485
                   6              12.485
                   6              12.485
                   6              12.485
                   6              12.485
                   6              12.485
                   6              12.485
                   6              12.485
                   6              12.485
                   6              12.485
                   6              12.485
                   6              12.485
                   6              12.485
                   6              12.485
                   6              12.485
                   6              12.485
                   6              12.485
                   6              12.728
                   6              12.728
                   6              12.728
                   6              12.728
                   6              12.728
                   6              12.728
                   6              12.728
                   6              12.728
                   6              12.728
                   6              12.728
                   6              12.728
                   6              12.728
                   6              12.728
                   6              12.728
                   6              12.728
                   6              12.728
                   6              12.728
                   6              12.728
                   6              12.728
                   6              12.728
                   6              12.728
                   6              12.728
                   6              12.728
                   6              12.728
                   6              12.728
                   6              12.728
                   6              12.728
                   6              12.728
                   6              12.728
                   6              12.728
                   6              12.728
                   6              12.728
                   6              12.728
                   6              12.728
                   6              12.728
                   6              12.728
                   6              12.728
                   6              12.728
                   6              12.728
                   6              12.728
                   6              12.728
                   6              12.728
                   6              12.728
                   6              13.071
                   6              13.314
                   6              13.314
                   6              13.314
                   6              13.314
                   6              13.314
                   6              13.314
                   6              13.314
                   6              13.314
                   6              13.314
                   6              13.314
                   6              13.314
                   6              13.314
                   6              13.314
                   6              13.314
                   6              13.314
                   6              13.314
                   6              13.314
                   6              13.314
                   6              13.314
                   6              13.314
                   6              13.314
                   6              13.314
                   6              13.314
                   6              13.314
                   6              13.314
                   6              13.314
                   6              13.314
                   6              13.314
                   6              13.314
                   6              13.314
                   6              13.314
                   6              13.314
                   6              13.314
                   6              13.314
                   6              13.314
                   6              13.314
                   6              13.314
                   6              13.314
                   6              13.314
                   6              13.314
                   6              13.314
                   6              13.314
                   6              13.314
                   6              13.314
                   6              13.314
                   6              13.314
                   6              13.314
                   6              13.314
                   6              13.314
                   6              13.314
                   7              13.314
                   7              13.314
                   7              13.314
                   7              13.314
                   7              13.314
                   7              13.314
                   7              13.314
                   7              13.314
                   7              13.314
